scenario,region,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060
Lowcost_DAC,GD,Electricity generation,90.07387473,106.9323698,110.296896,116.109634,97.86648093,47.68046254,23.49622123,14.38946217,13.49256731
Lowcost_DAC,GD,Industry,54.59182963,58.9416469,61.68533568,60.41986918,49.56641928,40.81223798,34.18278663,27.38644643,22.49358958
Lowcost_DAC,GD,Residential,9.074069283,11.31430107,12.88524582,13.95149371,14.219121,13.68716525,13.47550762,13.00208247,12.70679868
Lowcost_DAC,GD,Transportation,27.74000186,29.9617578,31.24087495,31.65671905,30.33683092,28.37350272,27.11844017,25.54999853,25.0186116
Lowcost_DAC,GS,Agricultural,0.211797695,0.201852774,0.195022924,0.178795631,0.146334821,0.118291354,0.091992341,0.066221139,0.056932942
Lowcost_DAC,GS,Electricity generation,21.32720736,23.69082866,25.2092675,25.72231995,21.41521087,8.320365556,3.185553067,2.027059029,1.909648507
Lowcost_DAC,GS,Industry,20.45776441,20.29187203,20.65053796,19.17164642,14.17648098,11.70415198,9.928372522,8.033268242,6.792126568
Lowcost_DAC,GS,Residential,2.712240828,3.091636962,3.6848556,3.932017754,3.059854186,2.72444214,2.646324055,2.53745807,2.621597826
Lowcost_DAC,GS,Transportation,4.380161852,4.669286179,4.803150802,4.819993717,4.638136717,4.394268683,4.27795684,4.186112139,4.229436561
Lowcost_DAC,GX,Agricultural,0.606119007,0.580597712,0.563783823,0.525274258,0.443800844,0.377162967,0.31626976,0.255169325,0.230264769
Lowcost_DAC,GX,Electricity generation,16.01799861,17.94780877,18.0451173,18.13725551,15.22702053,7.310813004,2.919609654,1.291579616,1.097085956
Lowcost_DAC,GX,Industry,33.77600462,35.4356633,36.17194537,34.93635195,28.31110754,22.32273188,18.5034565,14.7910889,11.880399
